customer_id,first_name,last_name,email,city,state,signup_date,customer_segment
20001,CustFN_0,CustLN_0,customer0@example.com,Hyderabad,Tamil Nadu,2023-05-05,Medium
20002,CustFN_1,CustLN_1,customer1@example.com,Mumbai,West Bengal,2023-05-04,Low
20003,CustFN_2,CustLN_2,customer2@example.com,Chennai,Tamil Nadu,2022-05-30,Low
20004,CustFN_3,CustLN_3,customer3@example.com,Hyderabad,Karnataka,2023-02-14,Low
20005,CustFN_4,CustLN_4,customer4@example.com,Bengaluru,Delhi,2020-09-29,Low
20006,CustFN_5,CustLN_5,customer5@example.com,Hyderabad,Maharashtra,2020-09-11,Medium
20007,CustFN_6,CustLN_6,customer6@example.com,Pune,Karnataka,2023-07-18,Medium
20008,CustFN_7,CustLN_7,customer7@example.com,Chennai,Tamil Nadu,2022-01-17,Medium
20009,CustFN_8,CustLN_8,customer8@example.com,Hyderabad,Tamil Nadu,2021-01-03,Medium
20010,CustFN_9,CustLN_9,customer9@example.com,Delhi,Maharashtra,2022-10-30,High
20011,CustFN_10,CustLN_10,customer10@example.com,Bengaluru,Tamil Nadu,2023-08-30,Medium
20012,CustFN_11,CustLN_11,customer11@example.com,Kolkata,West Bengal,2022-08-06,Low
20013,CustFN_12,CustLN_12,customer12@example.com,Chennai,Tamil Nadu,2021-06-05,Low
20014,CustFN_13,CustLN_13,customer13@example.com,Pune,Telangana,2021-12-25,Medium
20015,CustFN_14,CustLN_14,customer14@example.com,Kolkata,Delhi,2023-02-02,Medium
20016,CustFN_15,CustLN_15,customer15@example.com,Hyderabad,Tamil Nadu,2020-04-11,Medium
20017,CustFN_16,CustLN_16,customer16@example.com,Kolkata,Telangana,2020-11-21,Low
20018,CustFN_17,CustLN_17,customer17@example.com,Kolkata,Karnataka,2021-11-24,Medium
20019,CustFN_18,CustLN_18,customer18@example.com,Bengaluru,Tamil Nadu,2022-06-25,Low
20020,CustFN_19,CustLN_19,customer19@example.com,Kolkata,West Bengal,2021-05-23,Low
